Sum of EV_Sales_Quantity,Column Labels,,,,,,,,,,,,
Row Labels,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,(blank),Grand Total
Andaman & Nicobar Island,0,0,0,0,20,2,36,92,23,26,3,,202
Andhra Pradesh,12,8,20,0,1165,2123,1623,9540,29006,31506,2353,,77356
Arunachal Pradesh,0,0,1,0,1,1,5,2,2,21,7,,40
Assam,2,23,19,3833,7403,10867,8357,15633,40720,60798,4262,,151917
Bihar,12,69,1100,3593,8469,12380,12447,23082,55752,88186,8375,,213465
Chandigarh,0,2,1,23,213,506,369,734,2719,6333,553,,11453
Chhattisgarh,123,86,192,945,1902,2744,1489,4214,22363,37638,3579,,75275
Delhi,48,3565,21688,18042,20961,23222,12378,25815,62265,73487,7067,,268538
DNH and DD,0,2,2,1,19,19,24,29,140,160,35,,431
Goa,9,4,34,39,26,41,80,1095,5686,9440,928,,17382
Gujarat,76,81,142,174,498,945,1120,9775,68997,88617,6288,,176713
Haryana,9,55,1381,2488,4623,5108,2982,8661,25859,30489,3595,,85250
Himachal Pradesh,1,4,4,15,62,54,181,327,1008,1126,104,,2886
Jammu and Kashmir,4,5,0,1,90,76,74,1146,4690,9720,1034,,16840
Jharkhand,4,194,705,1352,1957,1931,1516,3741,13681,21097,1693,,47871
Karnataka,601,682,605,729,2302,6152,9716,33314,95934,151272,14191,,315498
Kerala,26,27,19,77,264,471,1386,8801,39671,74714,7790,,133246
Ladakh,0,0,0,0,0,0,0,6,40,28,14,,88
Madhya Pradesh,41,84,836,1404,2738,3680,3358,10427,36797,67051,6766,,133182
Maharashtra,905,1015,951,945,4640,7319,7137,29907,136036,193935,18745,,401535
Manipur,0,0,2,5,39,251,104,114,341,399,29,,1284
Meghalaya,1,0,1,0,2,13,3,5,42,113,28,,208
Mizoram,0,0,2,0,0,1,1,0,36,166,29,,235
Nagaland,0,1,0,0,0,29,11,2,3,6,0,,52
Odisha,51,47,25,212,1358,1159,904,5627,28444,44552,4444,,86823
Puducherry,3,11,7,9,87,80,88,405,1481,2637,331,,5139
Punjab,30,19,38,139,363,961,832,4643,14054,25741,2465,,49285
Rajasthan,87,676,3996,3945,4678,6633,5603,23462,78240,93818,7435,,228573
Sikkim,1,2,1,0,0,0,0,0,0,0,0,,4
Tamil Nadu,196,86,86,118,1332,3444,5698,30030,66955,90242,8715,,206902
Tripura,0,0,0,2,32,1459,3421,2435,4178,6312,507,,18346
Uttar Pradesh,139,1012,15310,40649,53212,55796,31264,66702,162857,277300,27833,,732074
Uttarakhand,9,14,1158,4225,5070,5819,2398,5324,15561,16794,1234,,57606
West Bengal,2,31,1529,4455,6728,13533,10079,6408,11142,21455,2750,,78112
(blank),,,,,,,,,,,,,
Grand Total,2392,7805,49855,87420,130254,166819,124684,331498,1024723,1525179,143182,,3593811
