state_name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Andaman & Nicobar Island,0,0,0,0,20,2,36,92,23,26
Andhra Pradesh,12,8,20,0,1165,2123,1623,9540,29006,31506
Arunachal Pradesh,0,0,1,0,1,1,5,2,2,21
Assam,2,23,19,3833,7403,10867,8357,15633,40720,60798
Bihar,12,69,1100,3593,8469,12380,12447,23082,55752,88186
Chandigarh,0,2,1,23,213,506,369,734,2719,6333
Chhattisgarh,123,86,192,945,1902,2744,1489,4214,22363,37638
Delhi,48,3565,21688,18042,20961,23222,12378,25815,62265,73487
DNH and DD,0,2,2,1,19,19,24,29,140,160
Goa,9,4,34,39,26,41,80,1095,5686,9440
Gujarat,76,81,142,174,498,945,1120,9775,68997,88617
Haryana,9,55,1381,2488,4623,5108,2982,8661,25859,30489
Himachal Pradesh,1,4,4,15,62,54,181,327,1008,1126
Jammu and Kashmir,4,5,0,1,90,76,74,1146,4690,9720
Jharkhand,4,194,705,1352,1957,1931,1516,3741,13681,21097
Karnataka,601,682,605,729,2302,6152,9716,33314,95934,151272
Kerala,26,27,19,77,264,471,1386,8801,39671,74714
Ladakh,0,0,0,0,0,0,0,6,40,28
Madhya Pradesh,41,84,836,1404,2738,3680,3358,10427,36797,67051
Maharashtra,905,1015,951,945,4640,7319,7137,29907,136036,193935
Manipur,0,0,2,5,39,251,104,114,341,399
Meghalaya,1,0,1,0,2,13,3,5,42,113
Mizoram,0,0,2,0,0,1,1,0,36,166
Nagaland,0,1,0,0,0,29,11,2,3,6
Odisha,51,47,25,212,1358,1159,904,5627,28444,44552
Puducherry,3,11,7,9,87,80,88,405,1481,2637
Punjab,30,19,38,139,363,961,832,4643,14054,25741
Rajasthan,87,676,3996,3945,4678,6633,5603,23462,78240,93818
Sikkim,1,2,1,0,0,0,0,0,0,0
Tamil Nadu,196,86,86,118,1332,3444,5698,30030,66955,90242
Tripura,0,0,0,2,32,1459,3421,2435,4178,6312
Uttar Pradesh,139,1012,15310,40649,53212,55796,31264,66702,162857,277300
Uttarakhand,9,14,1158,4225,5070,5819,2398,5324,15561,16794
West Bengal,2,31,1529,4455,6728,13533,10079,6408,11142,21455
