state_name,Others,Bus,2-Wheelers,4-Wheelers,3-Wheelers
Andaman & Nicobar Island,2,40,31,99,30
Andhra Pradesh,765,120,69020,3264,4187
Arunachal Pradesh,0,0,10,28,2
Assam,423,193,5208,518,145575
Bihar,47,27,28116,881,184394
Chandigarh,40,80,3395,1501,6437
Chhattisgarh,1578,2,48828,1728,23139
Delhi,417,1731,85358,19164,161868
DNH and DD,8,25,256,68,74
Goa,90,108,15151,1923,110
Gujarat,751,623,157871,11008,6460
Haryana,252,16,27370,4001,53611
Himachal Pradesh,65,118,2246,227,230
Jammu and Kashmir,3,192,5512,210,10923
Jharkhand,33,2,17277,789,29770
Karnataka,523,764,278671,22089,13451
Kerala,135,143,108118,15759,9091
Ladakh,0,19,58,10,1
Madhya Pradesh,104,76,70420,2441,60141
Maharashtra,603,1712,342236,32317,24667
Manipur,1,0,300,39,944
Meghalaya,2,0,135,37,34
Mizoram,1,0,233,1,0
Nagaland,0,0,48,4,0
Odisha,200,51,75449,2025,9098
Puducherry,8,0,4832,159,140
Punjab,139,1,21461,988,26696
Rajasthan,187,13,137724,7164,83485
Sikkim,0,0,1,3,NULL
Tamil Nadu,1845,60,181735,10520,12742
Tripura,9,0,516,43,17778
Uttar Pradesh,205,748,83769,5446,641906
Uttarakhand,2,35,13986,1062,42521
West Bengal,174,110,22764,4259,50805
