state_name,2024,2021,2022,2016,2019,2014,2020,2023,2017,2018,2015,sum_of_all_years_sales
Andaman & Nicobar Island,3,92,23,0,2,0,36,26,0,20,0,202
Andhra Pradesh,2353,9540,29006,20,2123,12,1623,31506,0,1165,8,77356
Arunachal Pradesh,7,2,2,1,1,0,5,21,0,1,0,40
Assam,4262,15633,40720,19,10867,2,8357,60798,3833,7403,23,151917
Bihar,8375,23082,55752,1100,12380,12,12447,88186,3593,8469,69,213465
Chandigarh,553,734,2719,1,506,0,369,6333,23,213,2,11453
Chhattisgarh,3579,4214,22363,192,2744,123,1489,37638,945,1902,86,75275
Delhi,7067,25815,62265,21688,23222,48,12378,73487,18042,20961,3565,268538
DNH and DD,35,29,140,2,19,0,24,160,1,19,2,431
Goa,928,1095,5686,34,41,9,80,9440,39,26,4,17382
Gujarat,6288,9775,68997,142,945,76,1120,88617,174,498,81,176713
Haryana,3595,8661,25859,1381,5108,9,2982,30489,2488,4623,55,85250
Himachal Pradesh,104,327,1008,4,54,1,181,1126,15,62,4,2886
Jammu and Kashmir,1034,1146,4690,0,76,4,74,9720,1,90,5,16840
Jharkhand,1693,3741,13681,705,1931,4,1516,21097,1352,1957,194,47871
Karnataka,14191,33314,95934,605,6152,601,9716,151272,729,2302,682,315498
Kerala,7790,8801,39671,19,471,26,1386,74714,77,264,27,133246
Ladakh,14,6,40,0,0,0,0,28,0,0,0,88
Madhya Pradesh,6766,10427,36797,836,3680,41,3358,67051,1404,2738,84,133182
Maharashtra,18745,29907,136036,951,7319,905,7137,193935,945,4640,1015,401535
Manipur,29,114,341,2,251,0,104,399,5,39,0,1284
Meghalaya,28,5,42,1,13,1,3,113,0,2,0,208
Mizoram,29,0,36,2,1,0,1,166,0,0,0,235
Nagaland,0,2,3,0,29,0,11,6,0,0,1,52
Odisha,4444,5627,28444,25,1159,51,904,44552,212,1358,47,86823
Puducherry,331,405,1481,7,80,3,88,2637,9,87,11,5139
Punjab,2465,4643,14054,38,961,30,832,25741,139,363,19,49285
Rajasthan,7435,23462,78240,3996,6633,87,5603,93818,3945,4678,676,228573
Sikkim,0,0,0,1,0,1,0,0,0,0,2,4
Tamil Nadu,8715,30030,66955,86,3444,196,5698,90242,118,1332,86,206902
Tripura,507,2435,4178,0,1459,0,3421,6312,2,32,0,18346
Uttar Pradesh,27833,66702,162857,15310,55796,139,31264,277300,40649,53212,1012,732074
Uttarakhand,1234,5324,15561,1158,5819,9,2398,16794,4225,5070,14,57606
West Bengal,2750,6408,11142,1529,13533,2,10079,21455,4455,6728,31,78112
